"","European.Starling","American.Robin","Brown.Thrasher","Northern.Mockingbird","Blue.gray.Gnatcatcher","Tufted.Titmouse","Field.Sparrow","Northern.Cardinal","Common.Yellowthroat","Blue.Jay","Northern.Bobwhite","Carolina.Chickadee","Chipping.Sparrow","Common.Grackle","Gray.Catbird","House.Sparrow","Red.winged.Blackbird","Song.Sparrow","House.Finch","Brown.headed.Nuthatch","Red.bellied.Woodpecker","Eastern.Towhee","Pine.Warbler","American.Goldfinch","Brown.headed.Cowbird","American.Crow","Downy.Woodpecker","Mourning.Dove","White.breasted.Nuthatch","Fish.Crow","Eastern.Meadowlark","Eastern.Phoebe","Eastern.Bluebird","Carolina.Wren","Pileated.Woodpecker"
"Red.bellied.Woodpecker",-0.0728205128205128,-0.0263247863247863,0.48034188034188,0.451623931623932,0.258803418803419,0.224615384615385,0.364506758618525,0.225982905982906,0.161709401709402,0.277264957264957,0.127521367521368,0.148034188034188,-0.0386324786324786,0.2,0.176068376068376,0.0704393923784391,0.0379487179487179,-0.0598290598290598,0.476923076923077,0.524786324786325,1,0.49059829059829,0.127521367521368,0.321025641025641,0.27042735042735,0.28,0.0605128205128205,0.524102564102564,0.262222222222222,-0.247179487179487,-0.294067366240086,-0.227350427350427,-0.091965811965812,-0.305982905982906,-0.124786324786325
"Eastern.Towhee",-0.16034188034188,0.0105982905982906,0.0735042735042735,0.305299145299145,0.0543589743589744,0.0598290598290598,0.209266544347596,0.324444444444444,0.163076923076923,0.0509401709401709,0.144615384615385,0.158974358974359,-0.133675213675214,0.427008547008547,0.385982905982906,0.194221237237638,0.115897435897436,0.0652991452991453,0.26974358974359,0.219145299145299,0.49059829059829,1,0.629401709401709,0.526837606837607,0.473504273504273,0.215042735042735,0.435213675213675,0.521367521367521,0.192478632478632,-0.0188034188034188,0.226021545447322,0.293675213675214,-0.0721367521367521,0.13982905982906,0.307350427350427
"Pine.Warbler",0.042051282051282,0.0372649572649573,-0.0844444444444444,0.285470085470085,-0.374358974358974,0.0618803418803419,0.0612070448336922,0.221880341880342,-0.0905982905982906,0.107692307692308,0.143931623931624,0.461880341880342,0.12,0.582905982905983,0.412649572649573,0.455120540076225,0.0625641025641026,0.0276923076923077,0.128888888888889,0.154871794871795,0.127521367521368,0.629401709401709,1,0.445470085470085,0.437948717948718,0.179487179487179,0.432478632478632,0.221880341880342,0.0434188034188034,0.188376068376068,0.306719101764368,0.484444444444444,0.0728205128205128,0.078974358974359,0.50017094017094
"American.Goldfinch",-0.280683760683761,0.091965811965812,-0.0769230769230769,0.291623931623932,-0.277264957264957,0.0181196581196581,0.329970940025212,0.405811965811966,-0.145982905982906,0.0365811965811966,0.0988034188034188,0.0823931623931624,-0.277948717948718,0.199316239316239,0.0345299145299145,0.181911440511309,0.260854700854701,0.282735042735043,0.393504273504273,0.364102564102564,0.321025641025641,0.526837606837607,0.445470085470085,1,0.53025641025641,0.078974358974359,0.247179487179487,0.301880341880342,0.434529914529915,0.147350427350427,0.213027871125085,0.325128205128205,0.157606837606838,0.150769230769231,0.169230769230769
"Brown.headed.Cowbird",-0.202051282051282,-0.00991452991452991,0.0064957264957265,-0.0899145299145299,0.0611965811965812,0.0468376068376068,0.176440419744051,0.327179487179487,-0.307350427350427,0.0324786324786325,0.0441025641025641,0.425641025641026,0.0694017094017094,0.385299145299145,0.199316239316239,0.195588992429452,0.0735042735042735,0.278632478632479,0.161709401709402,0.202051282051282,0.27042735042735,0.473504273504273,0.437948717948718,0.53025641025641,1,-0.100854700854701,-0.0434188034188034,0.11042735042735,0.279316239316239,0.111794871794872,0.3050094077746,0.230769230769231,0.19042735042735,0.176752136752137,0.0988034188034188
"American.Crow",-0.117264957264957,0.0201709401709402,-0.0324786324786325,0.0632478632478632,0.0290598290598291,0.120683760683761,-0.356642166265592,-0.206153846153846,-0.242393162393162,0.0201709401709402,-0.0475213675213675,-0.161025641025641,-0.0153846153846154,-0.188376068376068,0.0646153846153846,-0.0225679606649368,-0.222564102564103,-0.291623931623932,0.16991452991453,0.0639316239316239,0.28,0.215042735042735,0.179487179487179,0.078974358974359,-0.100854700854701,1,0.310769230769231,0.303247863247863,0.232820512820513,0.0625641025641026,0.0376132677748947,0.216410256410256,0.232136752136752,-0.241025641025641,0.192478632478632
"Downy.Woodpecker",-0.286837606837607,-0.0851282051282051,0.065982905982906,0.288205128205128,-0.0844444444444444,0.294358974358974,0.0957428634270046,0.343589743589744,-0.0748717948717949,0.172649572649573,0.203418803418803,0.145982905982906,-0.251282051282051,0.0748717948717949,-0.0413675213675214,-0.0054710207672574,-0.133675213675214,0.111111111111111,0.0714529914529914,0.0488888888888889,0.0605128205128205,0.435213675213675,0.432478632478632,0.247179487179487,-0.0434188034188034,0.310769230769231,1,0.323760683760684,0.377094017094017,0.269059829059829,0.224311851457554,0.214358974358974,-0.00991452991452991,0.0666666666666667,0.414017094017094
"Mourning.Dove",-0.0618803418803419,-0.0912820512820513,0.301880341880342,0.324444444444444,0.142564102564103,0.00854700854700855,0.151136948695486,-0.0475213675213675,0.236239316239316,0.247179487179487,0.0536752136752137,-0.158974358974359,-0.415384615384615,0.000341880341880342,-0.107008547008547,0.0977944962147261,0.00239316239316239,0.00786324786324786,0.266324786324786,0.00444444444444444,0.524102564102564,0.521367521367521,0.221880341880342,0.301880341880342,0.11042735042735,0.303247863247863,0.323760683760684,1,0.382564102564103,-0.0488888888888889,-0.0827491891047683,0.0160683760683761,0.173333333333333,0.00444444444444444,0.011965811965812
"White.breasted.Nuthatch",-0.444102564102564,0.0871794871794872,0.361367521367521,0.112478632478632,0.316923076923077,0.143931623931624,-0.00923234754474687,0.291623931623932,-0.504273504273504,-0.105641025641026,-0.149401709401709,-0.192478632478632,-0.746324786324786,-0.131623931623932,-0.233504273504273,-0.338861348772006,-0.251965811965812,0.257435897435897,0.146666666666667,0.128205128205128,0.262222222222222,0.192478632478632,0.0434188034188034,0.434529914529915,0.279316239316239,0.232820512820513,0.377094017094017,0.382564102564103,1,0.182222222222222,-0.00307744918158229,0.102905982905983,0.238974358974359,-0.00717948717948718,0.148034188034188
"Fish.Crow",-0.221880341880342,0.103589743589744,0.0502564102564102,0.0201709401709402,-0.117948717948718,0.117264957264957,0.0977944962147261,-0.00991452991452991,-0.477606837606838,-0.285470085470085,0.119316239316239,0.115213675213675,-0.223931623931624,-0.201367521367521,-0.297777777777778,-0.303641652582786,-0.347692307692308,0.232136752136752,0.207521367521368,0.118632478632479,-0.247179487179487,-0.0188034188034188,0.188376068376068,0.147350427350427,0.111794871794872,0.0625641025641026,0.269059829059829,-0.0488888888888889,0.182222222222222,1,0.45272696849055,0.34017094017094,0.288205128205128,0.13982905982906,0.246495726495726
