"year","common_name","sci_name","count"
"1943","Accipiter sp.","Accipiter sp.",NA
"1944","Accipiter sp.","Accipiter sp.",NA
"1945","Accipiter sp.","Accipiter sp.",2
"1946","Accipiter sp.","Accipiter sp.",NA
"1947","Accipiter sp.","Accipiter sp.",NA
"1948","Accipiter sp.","Accipiter sp.",NA
"1950","Accipiter sp.","Accipiter sp.",NA
"1951","Accipiter sp.","Accipiter sp.",NA
"1952","Accipiter sp.","Accipiter sp.",NA
"1953","Accipiter sp.","Accipiter sp.",NA
"1954","Accipiter sp.","Accipiter sp.",NA
"1956","Accipiter sp.","Accipiter sp.",NA
"1957","Accipiter sp.","Accipiter sp.",NA
"1958","Accipiter sp.","Accipiter sp.",NA
"1959","Accipiter sp.","Accipiter sp.",NA
"1960","Accipiter sp.","Accipiter sp.",NA
"1961","Accipiter sp.","Accipiter sp.",NA
"1962","Accipiter sp.","Accipiter sp.",NA
"1963","Accipiter sp.","Accipiter sp.",NA
"1964","Accipiter sp.","Accipiter sp.",NA
"1965","Accipiter sp.","Accipiter sp.",NA
"1966","Accipiter sp.","Accipiter sp.",NA
"1967","Accipiter sp.","Accipiter sp.",NA
"1968","Accipiter sp.","Accipiter sp.",NA
"1969","Accipiter sp.","Accipiter sp.",NA
"1970","Accipiter sp.","Accipiter sp.",NA
"1971","Accipiter sp.","Accipiter sp.",NA
"1972","Accipiter sp.","Accipiter sp.",NA
"1973","Accipiter sp.","Accipiter sp.",NA
"1974","Accipiter sp.","Accipiter sp.",NA
"1975","Accipiter sp.","Accipiter sp.",1
"1976","Accipiter sp.","Accipiter sp.",NA
"1977","Accipiter sp.","Accipiter sp.",NA
"1978","Accipiter sp.","Accipiter sp.",NA
"1979","Accipiter sp.","Accipiter sp.",NA
"1980","Accipiter sp.","Accipiter sp.",NA
"1981","Accipiter sp.","Accipiter sp.",NA
"1982","Accipiter sp.","Accipiter sp.",NA
"1983","Accipiter sp.","Accipiter sp.",NA
"1984","Accipiter sp.","Accipiter sp.",NA
"1985","Accipiter sp.","Accipiter sp.",NA
"1986","Accipiter sp.","Accipiter sp.",NA
"1987","Accipiter sp.","Accipiter sp.",NA
"1988","Accipiter sp.","Accipiter sp.",NA
"1989","Accipiter sp.","Accipiter sp.",NA
"1990","Accipiter sp.","Accipiter sp.",NA
"1991","Accipiter sp.","Accipiter sp.",NA
"1992","Accipiter sp.","Accipiter sp.",NA
"1993","Accipiter sp.","Accipiter sp.",NA
"1994","Accipiter sp.","Accipiter sp.",NA
"1995","Accipiter sp.","Accipiter sp.",NA
"1996","Accipiter sp.","Accipiter sp.",NA
"1997","Accipiter sp.","Accipiter sp.",NA
"1998","Accipiter sp.","Accipiter sp.",1
"1999","Accipiter sp.","Accipiter sp.",NA
"2000","Accipiter sp.","Accipiter sp.",NA
"2001","Accipiter sp.","Accipiter sp.",2
"2002","Accipiter sp.","Accipiter sp.",1
"2003","Accipiter sp.","Accipiter sp.",1
"2004","Accipiter sp.","Accipiter sp.",NA
"2005","Accipiter sp.","Accipiter sp.",NA
"2006","Accipiter sp.","Accipiter sp.",NA
"2007","Accipiter sp.","Accipiter sp.",NA
"2008","Accipiter sp.","Accipiter sp.",NA
"2009","Accipiter sp.","Accipiter sp.",1
"2010","Accipiter sp.","Accipiter sp.",NA
"2011","Accipiter sp.","Accipiter sp.",NA
"2012","Accipiter sp.","Accipiter sp.",1
"2013","Accipiter sp.","Accipiter sp.",1
"2014","Accipiter sp.","Accipiter sp.",NA
"2015","Accipiter sp.","Accipiter sp.",NA
"2016","Accipiter sp.","Accipiter sp.",NA
"2017","Accipiter sp.","Accipiter sp.",NA
"2018","Accipiter sp.","Accipiter sp.",1
"2019","Accipiter sp.","Accipiter sp.",NA
"2020","Accipiter sp.","Accipiter sp.",NA
"2021","Accipiter sp.","Accipiter sp.",NA
"2022","Accipiter sp.","Accipiter sp.",NA
"2023","Accipiter sp.","Accipiter sp.",NA
"2024","Accipiter sp.","Accipiter sp.",NA
"1923","Sharp-shinned Hawk","Accipiter striatus",NA
"1928","Sharp-shinned Hawk","Accipiter striatus",NA
"1929","Sharp-shinned Hawk","Accipiter striatus",NA
"1930","Sharp-shinned Hawk","Accipiter striatus",NA
"1931","Sharp-shinned Hawk","Accipiter striatus",NA
"1932","Sharp-shinned Hawk","Accipiter striatus",2
"1933","Sharp-shinned Hawk","Accipiter striatus",NA
"1934","Sharp-shinned Hawk","Accipiter striatus",NA
"1935","Sharp-shinned Hawk","Accipiter striatus",NA
"1936","Sharp-shinned Hawk","Accipiter striatus",NA
"1937","Sharp-shinned Hawk","Accipiter striatus",2
"1938","Sharp-shinned Hawk","Accipiter striatus",1
"1940","Sharp-shinned Hawk","Accipiter striatus",1
"1941","Sharp-shinned Hawk","Accipiter striatus",1
"1943","Sharp-shinned Hawk","Accipiter striatus",NA
"1944","Sharp-shinned Hawk","Accipiter striatus",1
"1945","Sharp-shinned Hawk","Accipiter striatus",NA
"1946","Sharp-shinned Hawk","Accipiter striatus",NA
"1947","Sharp-shinned Hawk","Accipiter striatus",NA
"1948","Sharp-shinned Hawk","Accipiter striatus",NA
"1950","Sharp-shinned Hawk","Accipiter striatus",2
