"","dif_mig","dif_habDen","dif_mass","dif_tailLen","dif_handWing","dif_Secondary","dif_KippsDist","dif_wingLen","dif_tarsusLen","dif_beakDep","dif_width","dif_beakLenNare","dif_beakLenCulm","dif_clutchMin","dif_clutchMax","dif_ESI","dif_DB","dif_HB","dif_normMax","dif_elevaRange","dif_weight","dif_LAT","dif_RLM","dif_primHab","dif_primDiet","dif_INwt","dif_FRwt","dif_NEwt","dif_SEwt","dif_VEwt","dif_FIwt","dif_SCwt","dif_PLwt","dif_MSwt","dif_trophicLvl","dif_trophicNic","dif_primLife","sp1","sp2","corr"
"950",1,0,13.3,28.3,4.2,4.2,8.5,18.9,7.09999999999999,1.4,0.5,7.5,10.1,0,3,0.243038048686294,0,3,1000,1000,18.8666666666667,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,"American.Robin","Eastern.Meadowlark",0.0725903194529617
"951",0,0,27.7,6.8,5,1.39999999999999,9.1,9,4.7,2,0,2.9,0.699999999999999,0,0,0.243038048686294,0,3,1000,1000,23.2333333333333,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,"American.Robin","Red.winged.Blackbird",-0.392808242212907
"952",0,1,38.2,25.9,4,21.5,3,22,8,2.1,0.2,1.4,5.8,2,1,0.243038048686294,0,3,605,605,36.8833333333333,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,"American.Robin","Brown.headed.Cowbird",-0.0148998118300886
"953",1,0,26.7,22.5,3.1,7.90000000000001,2.6,5.90000000000001,2.9,3.7,1.7,9.3,9.6,1,3,0.109144469425068,1,1,2500,2500,28.1166666666667,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"American.Robin","Common.Grackle",0.262194174382209
"954",0,2,59.7,45.3,4.1,35.2,18.6,53.8,10.4,2.7,2,3.6,8.3,1,2,0.544068044350275,0,5,1600,1600,58.9,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,"American.Robin","Ovenbird",-0.00411311108347306
"955",0,2,69,46.3,12.9,46,28.4,72.3,12.5,3.5,2.6,4.6,10.7,1,2,0.845098040014257,1,5,1100,1100,68.3583333333333,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,"American.Robin","Common.Yellowthroat",-0.332018760939344
"956",0,1,66.7,41.7,0.399999999999999,39.1,16.3,55.2,14.1,3,2.5,4.5,10,1,0,0.0669467896306132,1,3,450,450,67.3833333333333,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,"American.Robin","Pine.Warbler",0.031678084049428
"957",0,2,49.4,24.4,0.199999999999999,22.9,9,35,13.2,2.2,2.8,0.800000000000001,4.2,1,0,0.243038048686294,0,3,1000,1000,50.8733333333333,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,"American.Robin","Summer.Tanager",0.1054253338247
"958",2,1,35.9,6.09999999999999,13.5,12.6,22.7,33.5,8.2,5.5,3.7,2.2,5.8,1,1,0.243038048686294,2,5,1500,1500,35,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,"American.Robin","Northern.Cardinal",0.271653606984059
"959",0,1,51.1,31.3,6.1,23.1,17,40.9,12.4,4.1,1.8,0.199999999999999,6.4,1,1,0.0669467896306132,0,1,1000,1000,50.6333333333333,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,"American.Robin","Blue.Grosbeak",0.525081390948664
"960",0,1,63.8,46.8,6.5,40,22.2,62.2,15.5,0.6,0.5,4.9,11.7,1,0,0.234083206033368,2,1,1200,1200,63.9833333333333,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,"American.Robin","Indigo.Bunting",-0.056135567361204
"985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"House.Finch","House.Finch",1
"986",1,1,8.6,17.9,0.100000000000001,5.5,2.1,7.40000000000001,3.9,1.9,2.3,0.200000000000001,0.9,0,0,0.544068044350275,1,3,2500,2500,8.775,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,"House.Finch","American.Goldfinch",0.384260056949672
"987",1,0,9.2,10.2,3.3,4.8,4.9,9.2,1.1,3.3,2.6,1.4,2.5,0,0,0.146128035678238,0,2,300,300,8.375,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,"House.Finch","Chipping.Sparrow",-0.0049632039063347
"988",0,0,18.6,25.5,13.9,15,10.1,5.09999999999999,9.6,0,1.1,1.4,4.8,0,1,0.154901959985743,2,2,1520,1520,19.3916666666667,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,"House.Finch","Eastern.Towhee",0.263860369609856
"989",1,0,3.5,5.59999999999999,6.2,4.7,4.9,0.700000000000003,8.7,1.9,1.8,2.1,5.7,1,2,0.544068044350275,0,5,1400,1400,5.775,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,"House.Finch","Yellow.breasted.Chat",0.150291005041408
"990",0,1,70.4,1.2,2.7,30.3,7.2,30.9,22.4,0,0.5,11.6,22.9,0,0,0.243038048686294,0,3,1000,1000,76.775,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"House.Finch","Eastern.Meadowlark",-0.00564681724845996
"991",1,1,29.4,22.7,3.5,33.1,6.6,40.8,10.6,0.600000000000001,1,7,12.1,0,3,0.243038048686294,0,3,1000,1000,34.675,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,"House.Finch","Red.winged.Blackbird",0.227793944804534
