COMMON NAME,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Fish Crow,0,0,0,0,0,0,7,8,4,3,4,2,5,2,5,7,12,18,10,15,13,20,22,14,31,16,40,28,34,18,23,33,31,57,58,57,48,56,64,36,59,60,130,,104,100
Common Raven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0
Carolina Chickadee,34,91,99,93,109,125,148,128,67,145,138,127,170,177,171,189,135,159,178,141,148,199,228,283,252,310,260,177,172,183,133,175,145,144,133,250,124,161,173,138,166,136,136,,250,206
Tufted Titmouse,55,55,88,105,91,103,105,135,50,89,54,131,114,163,164,135,167,157,226,169,162,280,295,357,304,352,379,237,209,183,163,274,272,238,297,361,222,297,326,243,377,257,281,,337,370
Horned Lark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
N. Rough-winged Swallow,16,37,90,15,50,55,28,43,5,14,20,34,14,60,25,103,18,16,31,25,42,21,19,27,26,53,21,35,23,42,71,78,37,38,55,155,187,68,62,79,103,88,138,,102,51
Purple Martin,0,118,153,217,196,161,225,102,55,29,164,161,57,130,59,97,154,53,176,85,116,49,47,38,40,54,50,9,28,27,50,26,39,128,37,71,183,34,41,22,8,34,33,,2,10
Tree Swallow,10,90,34,34,70,37,28,36,51,27,8,6,57,10,44,32,33,16,42,12,31,25,34,3,25,31,26,34,13,31,69,18,70,15,38,14,78,11,15,104,26,15,36,,32,29
Bank Swallow,2,0,11,1,51,3,14,40,13,15,1,0,23,17,0,72,0,9,32,0,2,0,1,0,1,33,1,2,0,0,11,1,2,0,0,3,0,0,2,3,0,0,0,,0,0
Barn Swallow,78,235,332,178,349,263,364,354,269,319,154,264,376,382,292,333,224,153,181,157,190,126,240,178,178,305,203,171,174,164,236,100,82,79,140,216,542,88,88,109,94,73,93,,82,52
Cliff Swallow,0,0,3,1,2,0,3,14,10,47,9,81,49,148,49,50,100,106,135,86,47,35,126,206,191,184,288,214,367,192,230,173,142,172,111,173,352,109,272,184,168,165,112,,67,244
