"common_name","year","count"
"Northern Pintail",1992,0
"Northern Pintail",1993,0
"Northern Pintail",1994,0
"Northern Pintail",1995,0
"Northern Pintail",1996,0
"Northern Pintail",1997,0
"Northern Pintail",1998,0
"Northern Pintail",1999,0
"Northern Pintail",2000,0
"Northern Pintail",2001,0
"Northern Pintail",2002,0
"Northern Pintail",2003,0
"Northern Pintail",2004,0
"Northern Pintail",2005,0
"Northern Pintail",2006,0
"Northern Pintail",2007,0
"Northern Pintail",2008,0
"Northern Pintail",2009,0
"Northern Pintail",2010,0
"Northern Pintail",2011,0
"Northern Pintail",2012,0
"Northern Pintail",2013,0
"Northern Pintail",2014,0
"Northern Pintail",2015,0
"Northern Pintail",2016,0
"Northern Pintail",2017,0
"Northern Pintail",2018,0
"Northern Pintail",2019,0
"Northern Pintail",2020,0
"Northern Pintail",2021,0
"Northern Pintail",2022,0
"Northern Pintail",2023,0
"Northern Pintail",2024,0
"Redhead",1952,0
"Redhead",1957,0
"Redhead",1958,0
"Redhead",1960,0
"Redhead",1961,0
"Redhead",1962,0
"Redhead",1963,0
"Redhead",1964,0
"Redhead",1965,0
"Redhead",1966,0
"Redhead",1967,0
"Redhead",1968,0
"Redhead",1969,0
"Redhead",1970,0
"Redhead",1971,0
"Redhead",1972,0
"Redhead",1973,0
"Redhead",1974,0
"Redhead",1975,0
"Redhead",1976,0
"Redhead",1977,0
"Redhead",1978,1
"Redhead",1979,0
"Redhead",1980,0
"Redhead",1981,0
"Redhead",1982,0
"Redhead",1983,0
"Redhead",1984,0
"Redhead",1985,0
"Redhead",1986,0
"Redhead",1987,0
"Redhead",1988,0
"Redhead",1989,0
"Redhead",1990,0
"Redhead",1991,0
"Redhead",1992,0
"Redhead",1993,0
"Redhead",1994,0
"Redhead",1995,0
"Redhead",1996,0
"Redhead",1997,0
"Redhead",1998,0
"Redhead",1999,0
"Redhead",2000,0
"Redhead",2001,0
"Redhead",2002,0
"Redhead",2003,0
"Redhead",2004,0
"Redhead",2005,0
"Redhead",2006,0
"Redhead",2007,0
"Redhead",2008,0
"Redhead",2009,0
"Redhead",2010,0
"Redhead",2011,0
"Redhead",2012,0
"Redhead",2013,0
"Redhead",2014,0
"Redhead",2015,0
"Redhead",2016,0
"Redhead",2017,0
"Redhead",2018,0
"Redhead",2019,0
"Redhead",2020,0
"Redhead",2021,0
"Redhead",2022,0
"Redhead",2023,0
"Redhead",2024,0
"Lesser Scaup",1952,0
"Lesser Scaup",1957,0
"Lesser Scaup",1958,0
"Lesser Scaup",1960,4
"Lesser Scaup",1961,0
"Lesser Scaup",1962,0
"Lesser Scaup",1963,0
"Lesser Scaup",1964,2
"Lesser Scaup",1965,0
"Lesser Scaup",1966,0
"Lesser Scaup",1967,3
"Lesser Scaup",1968,0
"Lesser Scaup",1969,0
"Lesser Scaup",1970,0
"Lesser Scaup",1971,0
"Lesser Scaup",1972,1
"Lesser Scaup",1973,0
"Lesser Scaup",1974,0
"Lesser Scaup",1975,1
"Lesser Scaup",1976,0
"Lesser Scaup",1977,0
"Lesser Scaup",1978,0
"Lesser Scaup",1979,0
"Lesser Scaup",1980,0
"Lesser Scaup",1981,0
"Lesser Scaup",1982,0
"Lesser Scaup",1983,2
"Lesser Scaup",1984,0
"Lesser Scaup",1985,0
"Lesser Scaup",1986,0
"Lesser Scaup",1987,0
"Lesser Scaup",1988,0
"Lesser Scaup",1989,0
"Lesser Scaup",1990,0
"Lesser Scaup",1991,0
"Lesser Scaup",1992,0
"Lesser Scaup",1993,0
"Lesser Scaup",1994,0
"Lesser Scaup",1995,0
"Lesser Scaup",1996,0
"Lesser Scaup",1997,0
"Lesser Scaup",1998,0
"Lesser Scaup",1999,0
"Lesser Scaup",2000,0
"Lesser Scaup",2001,0
"Lesser Scaup",2002,0
"Lesser Scaup",2003,0
"Lesser Scaup",2004,0
"Lesser Scaup",2005,0
"Lesser Scaup",2006,0
"Lesser Scaup",2007,0
"Lesser Scaup",2008,0
"Lesser Scaup",2009,0
"Lesser Scaup",2010,0
"Lesser Scaup",2011,0
"Lesser Scaup",2012,0
"Lesser Scaup",2013,0
"Lesser Scaup",2014,0
"Lesser Scaup",2015,0
"Lesser Scaup",2016,0
"Lesser Scaup",2017,0
"Lesser Scaup",2018,0
"Lesser Scaup",2019,0
"Lesser Scaup",2020,0
"Lesser Scaup",2021,0
"Lesser Scaup",2022,0
"Lesser Scaup",2023,0
"Lesser Scaup",2024,0
"Hooded Merganser",1952,0
"Hooded Merganser",1957,0
"Hooded Merganser",1958,0
"Hooded Merganser",1960,0
"Hooded Merganser",1961,0
"Hooded Merganser",1962,0
"Hooded Merganser",1963,0
"Hooded Merganser",1964,0
"Hooded Merganser",1965,0
"Hooded Merganser",1966,0
"Hooded Merganser",1967,0
"Hooded Merganser",1968,0
"Hooded Merganser",1969,0
"Hooded Merganser",1970,0
"Hooded Merganser",1971,0
"Hooded Merganser",1972,0
"Hooded Merganser",1973,0
"Hooded Merganser",1974,0
"Hooded Merganser",1975,0
"Hooded Merganser",1976,0
"Hooded Merganser",1977,0
"Hooded Merganser",1978,0
"Hooded Merganser",1979,0
"Hooded Merganser",1980,0
"Hooded Merganser",1981,0
"Hooded Merganser",1982,0
